,DBN,school_name,school_type,administrative_district_code,american indian/alaskan native removals and/or suspensions resulting from incidents where nypd was contacted,asian removals and/or suspensions resulting from incidents where nypd was contacted,black removals and/or suspensions resulting from incidents where nypd was contacted,hispanic removals and/or suspensions resulting from incidents where nypd was contacted,multi-racial removals and/or suspensions resulting from incidents where nypd was contacted,unknown removals and/or suspensions resulting from incidents where nypd was contacted,white removals and/or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals and/or suspensions resulting from incidents where nypd was contacted,male removals and/or suspensions resulting from incidents where nypd was contacted,sy1920_total_removals_suspensions removals and/or suspensions resulting from incidents where nypd was contacted
193,04M007,P.S. 007 Samuel Stern,K-8,4.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
194,04M012,Tag Young Scholars,K-8,4.0,0,0,0,0,0,0,0,8,3,0,0,0,0,0
195,04M037,River East Elementary,Elementary,4.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
196,04M038,P.S. 38 Roberto Clemente,Elementary,4.0,0,0,0,0,0,0,0,3,7,3,0,0,0,0
197,04M057,James Weldon Johnson,K-8,4.0,0,0,3,3,0,0,0,6,6,3,0,0,3,3
198,04M072,The Lexington Academy,K-8,4.0,0,0,0,3,0,0,0,3,3,3,0,0,3,3
199,04M083,P.S. 083 Luis Munoz Rivera,Elementary,4.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
200,04M096,P.S. 096 Joseph Lanzetta,K-8,4.0,0,0,0,0,0,0,0,3,12,3,0,0,0,0
201,04M102,P.S. 102 Jacques Cartier,Elementary,4.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
202,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,4.0,0,0,0,3,0,0,0,9,16,8,0,0,3,3
203,04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,04M146,P.S. 146 Ann M. Short,Elementary,4.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
205,04M155,P.S. 155 William Paca,Elementary,4.0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
206,04M171,P.S. 171 Patrick Henry,K-8,4.0,0,0,3,3,0,0,0,9,9,3,0,3,3,3
207,04M182,The Bilingual Bicultural School,Elementary,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
