,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
123,05M133,P.S. 133 Fred R Moore,Elementary,5.0,3,3,3,3,3,3,3,71,36,7,0,3,3,0
124,05M154,P.S. 154 Harriet Tubman,Elementary,5.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
125,05M194,P.S. 194 Countee Cullen,Elementary,5.0,3,3,3,3,3,3,3,36,3,21,0,3,3,0
126,05M197,P.S. 197 John B. Russwurm,Elementary,5.0,3,3,3,3,3,3,3,26,3,3,0,3,3,0
127,05M302,KAPPA IV,Junior High-Intermediate-Middle,5.0,3,3,3,3,3,3,3,66,3,16,0,3,3,0
128,05M318,Thurgood Marshall Academy Lower School,Elementary,5.0,3,3,3,3,3,3,3,25,6,7,0,3,3,0
129,05M362,Columbia Secondary School,Secondary School,5.0,3,3,3,3,3,3,3,16,0,0,0,3,3,0
130,05M367,Academy for Social Action,High school,5.0,3,3,3,3,3,3,3,9,0,18,0,3,3,0
131,05M517,Teachers College Community School,K-8,5.0,3,3,3,3,3,3,3,25,3,11,0,3,3,0
132,06M008,P.S. 008 Luis Belliard,Elementary,6.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
133,06M018,P.S. 018 Park Terrace,K-8,6.0,3,3,3,3,3,3,3,29,3,3,0,3,3,0
134,06M028,P.S. 028 Wright Brothers,Elementary,6.0,3,3,3,3,3,3,3,21,0,0,0,3,3,0
135,06M098,P.S. 098 Shorac Kappock,Elementary,6.0,3,3,3,3,3,3,3,33,0,26,0,3,3,0
136,06M103,Dos Puentes Elementary School,Elementary,6.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
137,06M115,P.S. 115 Alexander Humboldt,Elementary,6.0,3,3,3,3,3,3,3,3,0,0,0,3,3,0
138,06M132,P.S. 132 Juan Pablo Duarte,Elementary,6.0,3,3,3,3,3,3,3,12,0,3,0,3,3,0
139,06M153,P.S. 153 Adam Clayton Powell,Elementary,6.0,3,3,3,3,3,3,3,3,0,0,0,3,3,0
140,06M173,P.S. 173,Elementary,6.0,3,3,3,3,3,3,3,11,0,6,0,3,3,0
141,06M178,Professor Juan Bosch Public School,Elementary,6.0,3,3,3,3,3,3,3,10,0,3,0,3,3,0
142,06M187,P.S./I.S. 187 Hudson Cliffs,K-8,6.0,3,3,3,3,3,3,3,23,0,17,0,3,3,0
143,06M189,P.S. 189,Elementary,6.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
144,06M192,P.S. 192 Jacob H. Schiff,Elementary,6.0,3,3,3,3,3,3,3,6,0,0,0,3,3,0
145,06M209,Hamilton Grange Middle School,Junior High-Intermediate-Middle,6.0,3,3,3,3,3,3,3,26,0,7,0,3,3,0
146,06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,K-8,6.0,3,3,3,3,3,3,3,43,0,13,0,3,3,0
147,06M278,Paula Hedbavny School,K-8,6.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
148,06M293,City College Academy of the Arts,Secondary School,6.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
149,06M311,Amistad Dual Language School,K-8,6.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
150,06M314,Muscota,Elementary,6.0,3,3,3,3,3,3,3,26,0,19,0,3,3,0
151,06M319,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle,6.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
