,year,building_code,dbn,location_name,address,borough,register,major_crimes,other_crimes,non_criminal,property_crimes,violent_crimes,population_group,population_range,latitude,longitude
2569,2014-15,K302,19K302,J.H.S. 302 Rafael Cordero,350 LINWOOD STREET,K,268,,,,,,3C,251-500,40.677104,-73.883433
2570,2014-15,K302,19K661,Vista Academy,350 LINWOOD STREET,K,225,,,,,,2C,1-250,40.677104,-73.883433
2571,2014-15,K302,19K662,Liberty Avenue Middle School,350 LINWOOD STREET,K,292,,,,,,3C,251- 500,40.677104,-73.883433
2572,2014-15,K302,84K774      ,Achievement First Apollo Charter School,350 LINWOOD STREET,K,,,,,,,,,40.677104,-73.883433
2573,2014-15,K302,,350 LINWOOD STREET CONSOLIDATED LOCATION,350 LINWOOD STREET,K,785,1.0,5.0,2.0,6.0,0.0,5C,751-1000,40.677104,-73.883433
2574,2014-15,K303,21K303,I.S. 303 Herbert S. Eisenberg,501 WEST AVENUE,K,514,,,,,,4C,501-750,40.5825,-73.973122
2575,2014-15,K303,21K344,Rachel Carson High School for Coastal Studies,521 WEST AVENUE,K,560,,,,,,4C,501-750,40.582533,-73.973132
2576,2014-15,K308,,616 QUINCY STREET CONSOLIDATED LOCATION,616 QUINCY STREET,K,434,0.0,2.0,2.0,2.0,0.0,3C,251-500,40.688695,-73.935499
2577,2014-15,K303,84K744      ,Coney Island Preparatory Public Charter School,521 WEST AVENUE,K,,,,,,,,,40.582533,-73.973132
2578,2014-15,K303,,521 WEST AVENUE CONSOLIDATED LOCATION,521 WEST AVENUE,K,1074,1.0,1.0,3.0,1.0,1.0,6C,1001-1250,40.582533,-73.973132
2579,2014-15,K304,16K627,Brighter Choice Community School,280 HART STREET,K,149,,,,,,2C,1-250,40.694086,-73.940744
2580,2014-15,K304,16K636,Young Scholars' Academy for Discovery and Explorat,280 HART STREET,K,180,,,,,,2C,1-250,40.694086,-73.940744
2581,2014-15,K304,,280 HART STREET CONSOLIDATED LOCATION,280 HART STREET,K,329,0.0,0.0,0.0,0.0,0.0,3C,251-500,40.694086,-73.940744
2582,2014-15,K305,13K301,Satellite East Middle School,344 MONROE STREET,K,119,,,,,,2C,1-250,40.686076,-73.945229
2583,2014-15,K305,13K305,P.S. 305 Dr. Peter Ray,344 MONROE STREET,K,188,,,,,,2C,1-250,40.686076,-73.945229
2584,2014-15,K305,,344 MONROE STREET CONSOLIDATED LOCATION,344 MONROE STREET,K,307,0.0,0.0,1.0,0.0,0.0,3C,251-500,40.686076,-73.945229
2585,2014-15,K306,19K306,P.S. 306 Ethan Allen,970 VERMONT STREET,K,625,2.0,6.0,8.0,4.0,4.0,4C,501-750,40.655997,-73.886547
2586,2014-15,K307,13K307,P.S. 307 Daniel Hale Williams,209 YORK STREET,K,413,,,,,,3C,251-500,40.701343,-73.982314
2587,2014-15,K307,13K313,Satellite West Middle School,209 YORK STREET,K,104,,,,,,2C,1-250,40.701343,-73.982314
2588,2014-15,K307,,209 YORK STREET CONSOLIDATED LOCATION,209 YORK STREET,K,517,0.0,1.0,2.0,0.0,1.0,4C,501-750,40.701343,-73.982314
2589,2014-15,K308,16K308,P.S. 308 Clara Cardwell,209 YORK STREET,K,434,,,,,,3C,251-500,40.701343,-73.982314
2590,2014-15,K308,16K406,TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL(BN),616 QUINCY STREET,K,,,,,,,,,40.688695,-73.935499
2591,2014-15,K318,14K318,I.S. 318 Eugenio Maria De Hostos,101 WALTON STREET,K,1607,1.0,1.0,3.0,0.0,2.0,8C,1501-1750,40.7025,-73.948869
2592,2014-15,K309,16K309,P.S. 309 The George E. Wibecan Preparatory Academy,794 MONROE STREET,K,261,,,,,,3C,251-500,40.688419,-73.924833
2593,2014-15,K309,16K712,EXCELLENCE GIRLS CHARTER SCHOOL(BN),794 MONROE STREET,K,,,,,,,,,40.688419,-73.924833
