,DBN,Location Name,Location Type,Total SW & GC,Total GC,Full Time,Part Time,Bilingual,Serving more than one location,SY2016-17 Enrollment,Ratio GC & SW,Ratio GC Only
716,14K110,14K110 - P.S. 110 THE MONITOR,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,505.0,505.0,505.0
717,14K120,14K120 - P.S. 120 CARLOS TAPIA,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,450.0,225.0,450.0
718,14K126,14K126 - JOHN ERICSSON MIDDLE SCHOOL 126,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,2.0,2.0,0.0,0.0,0.0,393.0,197.0,197.0
719,14K132,14K132 - P.S. 132 THE CONSELYEA SCHOOL,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,698.0,349.0,698.0
720,14K147,14K147 - P.S. 147 ISAAC REMSEN,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,318.0,318.0,318.0
721,14K157,14K157 - P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIEN,K-8                                ,1.0,1.0,1.0,0.0,1.0,0.0,508.0,508.0,508.0
722,14K196,14K196 - P.S. 196 TEN EYCK,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,357.0,179.0,357.0
723,14K250,14K250 - P.S. 250 GEORGE H. LINDSAY,ELEMENTARY                         ,1.6,0.0,0.0,0.0,0.0,0.0,558.0,279.0,
724,14K257,14K257 - P.S. 257 JOHN F. HYLAN,ELEMENTARY                         ,1.6,0.6,0.0,0.6,0.0,0.6,658.0,329.0,658.0
725,14K297,14K297 - P.S. 297 ABRAHAM STOCKTON,ELEMENTARY                         ,1.6,0.6,0.0,0.6,0.0,0.6,246.0,123.0,246.0
726,14K318,14K318 - I.S. 318 EUGENIO MARIA DE HOSTOS,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,4.0,3.0,3.0,0.0,1.0,0.0,1358.0,340.0,453.0
727,14K319,14K319 - P.S. 319,EARLY CHILDHOOD,0.0,0.0,0.0,0.0,0.0,0.0,130.0,,
728,14K380,14K380 - P.S. 380 JOHN WAYNE ELEMENTARY,ELEMENTARY                         ,1.4,0.4,0.0,0.4,0.0,0.4,584.0,292.0,584.0
729,14K414,14K414 - BROOKLYN ARBOR ELEMENTARY SCHOOL,ELEMENTARY                         ,2.0,0.0,0.0,0.0,0.0,0.0,606.0,303.0,
730,14K449,14K449 - BROOKLYN LATIN SCHOOL  THE,HIGH SCHOOL                        ,3.9,3.9,3.0,0.9,0.0,0.0,724.0,121.0,121.0
731,14K454,14K454 - GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,0.0,0.0,244.0,122.0,122.0
732,14K474,14K474 - PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,HIGH SCHOOL                        ,5.0,3.0,3.0,0.0,1.0,0.0,886.0,178.0,296.0
