,DBN,School Name,Student Response Rate,Number of student respondents,Number of eligible students,Safety and respect score,Communication score,Engagement score,Academic expectation score
99,02M422,Quest to Learn,84.0,108.0,128.0,6.8,7.1,6.8,7.5
100,02M425,Leadership and Public Service High School,63.0,378.0,601.0,6.1,5.4,6.1,6.9
101,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,95.0,82.0,86.0,7.7,6.0,7.3,7.6
102,02M429,Legacy School for Integrated Studies,77.0,244.0,317.0,6.1,5.8,6.0,7.0
103,02M432,MURRAY HILL ACADEMY,88.0,114.0,129.0,6.2,5.7,6.2,6.9
104,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,94.0,102.0,109.0,7.0,7.0,6.9,7.5
105,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,86.0,82.0,95.0,7.5,6.8,7.3,7.3
106,02M439,Manhattan Village Academy,99.0,425.0,431.0,7.6,6.4,6.9,7.9
107,02M440,Bayard Rustin Educational Complex,54.0,230.0,426.0,5.9,5.1,5.7,6.1
108,02M442,"Ballet Tech, NYC Public School for Dance",100.0,65.0,65.0,8.2,7.6,8.3,8.5
109,02M449,Vanguard High School,82.0,333.0,404.0,7.0,6.4,6.7,7.5
110,02M459,Manhattan International High School,93.0,295.0,316.0,7.8,6.8,6.9,7.6
111,02M460,Washington Irving High School,76.0,880.0,1158.0,6.0,5.7,6.1,6.9
112,02M473,Washington Irving Yabc,58.0,75.0,130.0,7.8,6.1,7.2,7.6
113,02M475,Stuyvesant High School,93.0,3039.0,3269.0,7.5,6.2,7.0,7.9
114,02M489,High School of Economics and Finance,91.0,702.0,772.0,6.6,5.7,6.0,7.1
115,02M500,Unity Center for Urban Technologies,86.0,185.0,216.0,7.9,7.4,7.3,7.9
116,02M519,Talent Unlimited High School,90.0,437.0,487.0,7.0,6.2,6.8,7.5
117,02M520,Murry Bergtraum High School for Business Careers,75.0,1669.0,2228.0,5.7,5.3,5.7,6.5
118,02M529,Jacqueline Kennedy Onassis High School,79.0,527.0,667.0,7.1,6.0,6.7,7.4
119,02M531,Repertory Company High School for Theatre Arts,93.0,194.0,208.0,5.9,5.6,5.7,6.5
120,02M542,Manhattan Bridges High School,94.0,480.0,511.0,7.2,6.2,6.7,7.5
121,02M543,New Design High School,80.0,321.0,402.0,7.0,6.3,6.8,7.4
122,02M544,Independence High School,30.0,108.0,360.0,9.2,9.3,9.5,9.5
